Order ID,Order Date,Ship Date,Delivery Duration,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Discount Value,Profit,COGS,Returned
CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0.0,0.0,2.4824,-6.0776,0
CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,-42.696,16.011,-154.773,0
CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,-4.544,7.384,-10.792,0
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,208.56,6,0.0,0.0,52.14,-156.42,0
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,32.4,5,0.0,0.0,15.552,-16.848,0
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,319.41,5,0.1,-31.941,7.098,-280.371,0
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,14.56,2,0.0,0.0,6.9888,-7.5712,0
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,30.0,2,0.0,0.0,3.3,-26.7,0
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,48.48,4,0.2,-9.696,16.362,-22.422,0
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,1.68,1,0.0,0.0,0.84,-0.84,0
CA-2016-109806,2016-09-17,2016-09-22,5,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,20.1,3,0.0,0.0,6.633,-13.467,0
CA-2016-109806,2016-09-17,2016-09-22,5,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,73.584,2,0.2,-14.7168,8.2782,-50.589,0
CA-2016-109806,2016-09-17,2016-09-22,5,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,6.48,1,0.0,0.0,3.1104,-3.3696,0
CA-2016-145583,2016-10-13,2016-10-19,6,Standard Class,LC-16885,Consumer,United States,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,20.04,3,0.0,0.0,9.6192,-10.4208,0
CA-2016-145583,2016-10-13,2016-10-19,6,Standard Class,LC-16885,Consumer,United States,Roseville,California,95661,West,OFF-PA-10001736,Office Supplies,Paper,35.44,1,0.0,0.0,16.6568,-18.7832,0
CA-2016-145583,2016-10-13,2016-10-19,6,Standard Class,LC-16885,Consumer,United States,Roseville,California,95661,West,OFF-AR-10001149,Office Supplies,Art,11.52,4,0.0,0.0,3.456,-8.064,0
CA-2016-145583,2016-10-13,2016-10-19,6,Standard Class,LC-16885,Consumer,United States,Roseville,California,95661,West,OFF-FA-10002988,Office Supplies,Fasteners,4.02,2,0.0,0.0,1.9698,-2.0502,0
CA-2016-145583,2016-10-13,2016-10-19,6,Standard Class,LC-16885,Consumer,United States,Roseville,California,95661,West,OFF-BI-10004781,Office Supplies,Binders,76.176,3,0.2,-15.2352,26.6616,-34.2792,0
CA-2016-145583,2016-10-13,2016-10-19,6,Standard Class,LC-16885,Consumer,United States,Roseville,California,95661,West,OFF-SU-10001218,Office Supplies,Supplies,65.88,6,0.0,0.0,18.4464,-47.4336,0
CA-2016-145583,2016-10-13,2016-10-19,6,Standard Class,LC-16885,Consumer,United States,Roseville,California,95661,West,FUR-FU-10001706,Furniture,Furnishings,43.12,14,0.0,0.0,20.6976,-22.4224,0
CA-2014-133690,2014-08-03,2014-08-05,2,First Class,BS-11755,Consumer,United States,Denver,Colorado,80219,West,FUR-TA-10004289,Furniture,Tables,218.75,2,0.5,-109.375,-161.875,-271.25,0
CA-2014-133690,2014-08-03,2014-08-05,2,First Class,BS-11755,Consumer,United States,Denver,Colorado,80219,West,OFF-AP-10003622,Office Supplies,Appliances,2.6,1,0.2,-0.52,0.2925,-1.7875,0
CA-2015-146262,2015-01-02,2015-01-09,7,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,44256,East,OFF-LA-10004544,Office Supplies,Labels,23.68,2,0.2,-4.736,8.88,-10.064,0
CA-2015-146262,2015-01-02,2015-01-09,7,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,44256,East,FUR-BO-10004695,Furniture,Bookcases,452.45,5,0.5,-226.225,-244.323,-470.548,0
CA-2015-146262,2015-01-02,2015-01-09,7,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,44256,East,TEC-PH-10002844,Technology,Phones,62.982,3,0.4,-25.1928,-14.6958,-52.485,0
CA-2015-146262,2015-01-02,2015-01-09,7,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,44256,East,TEC-MA-10000864,Technology,Machines,1188.0,9,0.7,-831.6,-950.4,-1306.8,0
CA-2015-146262,2015-01-02,2015-01-09,7,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,44256,East,TEC-AC-10000109,Technology,Accessories,89.584,2,0.2,-17.9168,4.4792,-67.188,0
CA-2015-169397,2015-12-24,2015-12-27,3,First Class,JB-15925,Consumer,United States,Dublin,Ohio,43017,East,OFF-FA-10000585,Office Supplies,Fasteners,5.584,2,0.2,-1.1168,1.8148,-2.6524,0
CA-2015-169397,2015-12-24,2015-12-27,3,First Class,JB-15925,Consumer,United States,Dublin,Ohio,43017,East,OFF-PA-10004000,Office Supplies,Paper,22.704,6,0.2,-4.5408,8.2302,-9.933,0
CA-2015-169397,2015-12-24,2015-12-27,3,First Class,JB-15925,Consumer,United States,Dublin,Ohio,43017,East,OFF-BI-10002852,Office Supplies,Binders,19.776,4,0.7,-13.8432,-13.8432,-19.776,0
